epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5076,1.73096,2.09419,1.34511,0.93453,0.43164,0.69422,0.36744,1.65148,2.33112,1.3297,0.000546557,0.000546557,0.000546557
2,54.872,1.55318,1.2643,1.25023,0.77189,0.81343,0.86511,0.518,1.4986,1.17281,1.2458,0.00110041,0.00110041,0.00110041
3,78.3433,1.53428,1.15751,1.24757,0.83219,0.77976,0.87319,0.49803,1.50414,1.22271,1.29563,0.00165242,0.00165242,0.00165242
4,101.624,1.53015,1.16411,1.24826,0.78962,0.83477,0.8801,0.50255,1.50492,1.03551,1.27058,0.00165875,0.00165875,0.00165875
5,125.254,1.49011,1.09178,1.21776,0.80795,0.81423,0.87699,0.50754,1.48752,1.06127,1.26869,0.001656,0.001656,0.001656
6,148.713,1.52404,1.08827,1.24504,0.79637,0.81207,0.87867,0.51422,1.51489,1.0417,1.23313,0.00165325,0.00165325,0.00165325
7,172.467,1.46213,1.0314,1.20073,0.83945,0.84597,0.90695,0.55392,1.44747,0.93427,1.22258,0.0016505,0.0016505,0.0016505
8,197.543,1.46692,1.0264,1.20723,0.83907,0.84307,0.91272,0.54356,1.4905,0.93235,1.24606,0.00164775,0.00164775,0.00164775
9,222.273,1.44157,0.98047,1.19532,0.83226,0.86807,0.90105,0.54355,1.42774,0.89592,1.21216,0.001645,0.001645,0.001645
10,246.906,1.42756,0.95688,1.18194,0.84332,0.81364,0.88919,0.52376,1.54317,0.95728,1.3242,0.00164225,0.00164225,0.00164225
11,270.467,1.42095,0.95783,1.20153,0.84178,0.88933,0.92565,0.55022,1.4527,0.87569,1.22446,0.00163949,0.00163949,0.00163949
12,294.126,1.42007,0.94801,1.194,0.8081,0.88098,0.91407,0.53655,1.42912,0.96011,1.23082,0.00163674,0.00163674,0.00163674
13,317.866,1.43529,0.94006,1.19005,0.81517,0.87514,0.90413,0.54789,1.45102,0.85503,1.23775,0.00163399,0.00163399,0.00163399
14,342.906,1.3958,0.90612,1.17336,0.82439,0.89842,0.92069,0.56211,1.4271,0.82517,1.20456,0.00163124,0.00163124,0.00163124
15,368.469,1.40246,0.88984,1.17496,0.83018,0.89078,0.92504,0.56546,1.43027,0.83712,1.21841,0.00162849,0.00162849,0.00162849
16,393.938,1.37459,0.87681,1.17389,0.85216,0.87308,0.92701,0.56269,1.44463,0.8331,1.22068,0.00162574,0.00162574,0.00162574
17,421.442,1.38611,0.88269,1.16387,0.81667,0.90262,0.92316,0.5634,1.4184,0.82078,1.19266,0.00162299,0.00162299,0.00162299
18,447.576,1.39552,0.87106,1.1684,0.82332,0.85908,0.92274,0.56791,1.41974,0.80896,1.20543,0.00162024,0.00162024,0.00162024
19,472.553,1.41366,0.87159,1.18076,0.83175,0.8879,0.92616,0.57673,1.4108,0.79896,1.21563,0.00161749,0.00161749,0.00161749
20,498.165,1.3571,0.85345,1.15876,0.86631,0.88259,0.92935,0.55971,1.46797,0.79759,1.23376,0.00161474,0.00161474,0.00161474
21,523.167,1.36492,0.84136,1.15665,0.86191,0.86554,0.93256,0.57394,1.40126,0.77712,1.20986,0.00161199,0.00161199,0.00161199
22,547.078,1.35606,0.84746,1.16798,0.81346,0.91558,0.92956,0.56551,1.40691,0.7738,1.22466,0.00160924,0.00160924,0.00160924
23,571.873,1.38061,0.85549,1.17056,0.81416,0.88899,0.90281,0.5315,1.49416,0.79534,1.25126,0.00160649,0.00160649,0.00160649
24,596.544,1.36571,0.83595,1.15644,0.80875,0.88509,0.8924,0.53518,1.44056,0.89828,1.22515,0.00160374,0.00160374,0.00160374
25,621.767,1.35423,0.82518,1.15248,0.84727,0.87883,0.92589,0.57905,1.38795,0.76958,1.18898,0.00160099,0.00160099,0.00160099
26,648.353,1.36811,0.82886,1.16329,0.80556,0.88806,0.91289,0.57216,1.3711,0.78477,1.20412,0.00159824,0.00159824,0.00159824
27,673.74,1.34693,0.80606,1.14937,0.81751,0.88517,0.91809,0.58893,1.34985,0.74098,1.18609,0.00159549,0.00159549,0.00159549
28,702.894,1.36099,0.80963,1.15954,0.84544,0.88812,0.92902,0.57827,1.37469,0.75018,1.20303,0.00159274,0.00159274,0.00159274
29,729.044,1.34221,0.7968,1.14447,0.82278,0.88456,0.92159,0.56766,1.39967,0.76866,1.20579,0.00158998,0.00158998,0.00158998
30,754.354,1.33793,0.79852,1.15349,0.82197,0.89392,0.91779,0.58335,1.39915,0.75706,1.19997,0.00158723,0.00158723,0.00158723
31,779.581,1.31729,0.78256,1.13368,0.82991,0.91957,0.93713,0.57385,1.40973,0.72883,1.20044,0.00158448,0.00158448,0.00158448
32,804.647,1.33424,0.8028,1.14089,0.8221,0.88273,0.92312,0.57653,1.39761,0.74515,1.20892,0.00158173,0.00158173,0.00158173
33,830.904,1.35169,0.79772,1.16139,0.85594,0.88315,0.93188,0.59283,1.39658,0.71156,1.19988,0.00157898,0.00157898,0.00157898
34,857.112,1.32565,0.78321,1.14413,0.85704,0.8434,0.91036,0.52426,1.44259,0.77237,1.24505,0.00157623,0.00157623,0.00157623
35,882.957,1.35187,0.7849,1.14935,0.84572,0.90423,0.93664,0.58793,1.38572,0.71673,1.20593,0.00157348,0.00157348,0.00157348
36,908.407,1.31827,0.77064,1.14368,0.80791,0.89741,0.928,0.58011,1.38283,0.72611,1.19695,0.00157073,0.00157073,0.00157073
37,934.035,1.32496,0.77356,1.14321,0.82243,0.89867,0.91735,0.54858,1.45197,0.75482,1.24311,0.00156798,0.00156798,0.00156798
38,959.731,1.30915,0.76988,1.13466,0.85029,0.88795,0.93926,0.60288,1.35277,0.71822,1.18795,0.00156523,0.00156523,0.00156523
39,985.5,1.33293,0.7668,1.14715,0.82261,0.91519,0.93046,0.57608,1.39609,0.71992,1.20129,0.00156248,0.00156248,0.00156248
40,1010.76,1.29978,0.73842,1.12874,0.83271,0.91544,0.93466,0.57463,1.40737,0.72708,1.20377,0.00155973,0.00155973,0.00155973
41,1037.4,1.31318,0.74318,1.13453,0.85889,0.88031,0.93842,0.59473,1.37158,0.69787,1.19824,0.00155698,0.00155698,0.00155698
